               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,              0.0213,             0.05384,           0.0049422,             0.58691,             0.55622,             0.56125,             0.39642,            0.031919,            0.042212,           0.0097637,            0.004324,            0.004324,            0.004324
                  88,            0.021226,            0.053446,           0.0051556,             0.67582,             0.53916,             0.51207,             0.35877,            0.032617,            0.044799,             0.01084,            0.004258,            0.004258,            0.004258
                  89,            0.021407,            0.054057,           0.0049384,             0.47678,              0.5558,             0.51876,              0.3799,            0.031313,            0.042181,            0.010096,            0.004192,            0.004192,            0.004192
                  90,            0.021366,            0.052943,           0.0049801,             0.46488,             0.62435,             0.52297,             0.37556,            0.032022,            0.042901,           0.0092113,            0.004126,            0.004126,            0.004126
                  91,            0.021119,            0.053856,           0.0050393,             0.56549,             0.53997,             0.55769,             0.40276,            0.032051,             0.04283,           0.0095118,             0.00406,             0.00406,             0.00406
                  92,            0.020855,            0.053277,           0.0049409,             0.59086,              0.5315,             0.54894,             0.38889,            0.032348,            0.043506,           0.0099731,            0.003994,            0.003994,            0.003994
                  93,            0.020793,            0.052953,            0.005071,             0.57719,             0.54297,             0.54744,             0.39828,            0.032285,            0.042274,           0.0096487,            0.003928,            0.003928,            0.003928
                  94,             0.02078,            0.051201,           0.0048892,             0.56099,             0.54809,             0.52308,             0.38281,            0.031942,            0.042321,           0.0091654,            0.003862,            0.003862,            0.003862
                  95,            0.020578,            0.051529,           0.0046492,             0.56341,             0.54819,             0.53821,             0.38783,            0.031466,            0.042746,            0.010642,            0.003796,            0.003796,            0.003796
                  96,            0.020811,            0.051003,           0.0047485,             0.54278,             0.55845,             0.53226,             0.36665,            0.031508,            0.042798,            0.010122,             0.00373,             0.00373,             0.00373
                  97,            0.020703,            0.054014,           0.0048014,             0.52533,             0.57601,             0.53777,             0.37984,             0.03255,            0.044664,             0.01096,            0.003664,            0.003664,            0.003664
                  98,            0.020686,            0.051466,           0.0046765,             0.58442,             0.54441,              0.5616,             0.40357,            0.031905,            0.043163,            0.010421,            0.003598,            0.003598,            0.003598
                  99,            0.020498,            0.052467,           0.0048543,             0.59289,             0.60228,             0.54745,             0.39206,            0.031338,            0.043717,            0.011187,            0.003532,            0.003532,            0.003532
                 100,            0.020284,             0.05076,            0.004546,             0.53091,              0.5559,             0.55092,             0.40391,            0.031259,            0.043684,            0.011815,            0.003466,            0.003466,            0.003466
                 101,            0.020336,            0.052101,           0.0047356,             0.55512,             0.48909,             0.54474,             0.39699,             0.03086,            0.042756,             0.01053,              0.0034,              0.0034,              0.0034
                 102,             0.02008,            0.052212,           0.0048362,             0.57575,             0.55167,             0.54374,             0.39237,            0.031246,            0.041852,           0.0097628,            0.003334,            0.003334,            0.003334
                 103,            0.019787,            0.050334,           0.0045662,             0.60642,             0.57706,              0.5616,             0.40125,            0.031667,            0.042016,            0.010586,            0.003268,            0.003268,            0.003268
                 104,            0.020018,            0.050073,           0.0045555,              0.5391,             0.59784,             0.56386,             0.41223,            0.031094,             0.04206,            0.010374,            0.003202,            0.003202,            0.003202
                 105,            0.020278,            0.051559,           0.0046865,             0.54429,             0.56866,             0.55941,             0.40701,            0.031052,            0.042212,           0.0092832,            0.003136,            0.003136,            0.003136
                 106,            0.020153,            0.050447,           0.0046843,             0.55447,              0.6018,             0.54471,             0.39086,            0.031206,            0.042417,           0.0099044,             0.00307,             0.00307,             0.00307
                 107,             0.01956,            0.050745,           0.0044824,             0.56618,             0.55256,             0.54835,             0.39961,            0.031565,            0.043386,            0.010813,            0.003004,            0.003004,            0.003004
