               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.020698,            0.054095,           0.0050457,             0.58165,             0.56465,             0.56371,             0.38816,            0.032085,            0.044549,            0.011683,            0.003664,            0.003664,            0.003664
                  98,            0.020637,            0.051478,           0.0048538,             0.56117,             0.58396,             0.55144,             0.38168,            0.032153,            0.043351,            0.011872,            0.003598,            0.003598,            0.003598
                  99,            0.020521,            0.052691,           0.0049689,             0.59018,             0.61426,             0.55992,             0.40263,            0.031406,            0.042586,            0.011009,            0.003532,            0.003532,            0.003532
                 100,            0.020292,            0.050825,           0.0048768,             0.58887,             0.58128,             0.55639,             0.39722,            0.031058,            0.042702,            0.011225,            0.003466,            0.003466,            0.003466
                 101,            0.020212,            0.051879,           0.0048542,             0.57214,             0.52469,             0.53177,             0.38017,            0.031456,            0.043822,            0.010937,              0.0034,              0.0034,              0.0034
                 102,             0.02016,            0.052361,           0.0050354,             0.56736,             0.59855,             0.56542,             0.39806,            0.031161,            0.042588,            0.010092,            0.003334,            0.003334,            0.003334
                 103,            0.019768,            0.050328,           0.0048628,             0.59003,             0.58366,             0.55804,             0.39965,            0.031554,            0.042014,           0.0094183,            0.003268,            0.003268,            0.003268
                 104,            0.020041,             0.04987,           0.0047922,             0.52975,              0.5215,              0.5292,             0.38497,            0.031495,             0.04313,            0.010106,            0.003202,            0.003202,            0.003202
                 105,            0.020229,            0.051454,           0.0048618,             0.51971,             0.56036,             0.53733,             0.39104,            0.031448,            0.043885,            0.010629,            0.003136,            0.003136,            0.003136
                 106,            0.020182,            0.050481,           0.0048698,             0.57056,             0.58776,             0.53948,             0.38159,            0.031287,            0.042578,             0.01067,             0.00307,             0.00307,             0.00307
                 107,            0.019668,            0.050681,           0.0046794,             0.60525,              0.5958,             0.58304,             0.41549,            0.031164,            0.042633,            0.010148,            0.003004,            0.003004,            0.003004
                 108,            0.019678,            0.051351,           0.0048259,             0.60865,             0.52861,             0.57296,             0.39719,            0.030912,            0.042208,            0.010206,            0.002938,            0.002938,            0.002938
                 109,            0.019637,            0.051426,           0.0044249,             0.57899,             0.58647,             0.57369,             0.40194,            0.031109,             0.04277,            0.010225,            0.002872,            0.002872,            0.002872
                 110,            0.019801,            0.051319,           0.0044604,              0.5612,             0.57762,             0.56484,             0.40729,            0.031437,            0.042853,            0.010676,            0.002806,            0.002806,            0.002806
                 111,            0.019108,            0.049196,           0.0044993,             0.51989,             0.66148,             0.58526,              0.4145,            0.031332,            0.043161,            0.010274,             0.00274,             0.00274,             0.00274
